student_id,age,gender,ethnicity,major,gpa_current,gpa_history,attendance_rate,enrollment_gap_months,credits_completed,financial_aid_status,academic_warning_count,advisor_meeting_count,advising_notes,counseling_notes,gpa_by_semester,attendance_by_semester,dropout_risk,next_semester_dropout,dropout_type,dropout_duration,dropout_cause
S1000,21,Other,Black,Psychology,3.17,2.77,0.88,0,42,True,0,2,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[2.44, 2.24, 3.12, 2.32]","[0.82, 0.8, 0.78, 0.69]",False,False,None,0,None
S1001,26,Male,Hispanic,Business,2.99,2.72,0.72,3,109,True,2,5,Student discussed academic goals and current challenges.,,"[3.11, 3.4, 2.75, 2.86]","[0.98, 0.92, 0.96, 0.91]",False,False,None,0,None
S1002,26,Other,Black,Psychology,2.45,2.25,0.79,1,119,True,2,5,Student discussed academic goals and current challenges.,,"[3.37, 3.29, 2.8, 3.56]","[0.72, 0.95, 0.54, 0.98]",False,False,None,0,None
S1003,21,Other,Asian,Psychology,3.82,3.79,0.97,3,38,False,1,4,Student discussed academic goals and current challenges.,,"[3.04, 2.81, 3.18, 3.82]","[0.77, 0.79, 0.54, 0.86]",False,False,None,0,None
S1004,19,Male,Hispanic,Electrical Engineering,2.18,1.97,0.56,0,26,True,3,1,Student discussed academic goals and current challenges.,,"[3.5, 1.96, 2.24, 3.48]","[0.59, 0.96, 0.71, 0.54]",True,True,Permanent,0,Financial
S1005,23,Female,White,Business,2.88,2.86,0.82,0,32,True,1,5,Student discussed academic goals and current challenges.,,"[2.79, 2.98, 3.48, 3.12]","[0.59, 0.68, 0.95, 0.88]",False,False,None,0,None
S1006,18,Female,White,Computer Science,2.09,1.7,0.64,0,119,False,2,1,Student discussed academic goals and current challenges.,,"[3.52, 3.42, 1.87, 2.56]","[0.58, 0.62, 0.93, 0.74]",False,False,None,0,None
S1007,22,Male,White,Electrical Engineering,1.74,1.73,0.82,1,90,False,2,1,Student discussed academic goals and current challenges.,,"[2.14, 3.08, 1.65, 1.85]","[0.64, 0.8, 0.84, 0.72]",False,False,None,0,None
S1008,24,Other,Asian,Computer Science,3.31,3.3,0.67,3,38,False,1,5,Student discussed academic goals and current challenges.,,"[2.95, 2.19, 1.7, 1.71]","[0.95, 0.6, 0.66, 0.61]",True,True,Temporary,1,Financial
S1009,24,Male,Hispanic,Computer Science,1.67,1.41,0.53,2,63,True,3,4,Student discussed academic goals and current challenges.,,"[2.18, 2.98, 3.2, 2.08]","[0.73, 0.6, 0.53, 0.69]",True,False,Permanent,0,Financial
S1010,23,Other,Other,Computer Science,2.89,2.52,0.73,3,63,False,3,4,Student discussed academic goals and current challenges.,,"[1.94, 3.23, 2.0, 2.84]","[0.55, 0.73, 0.88, 0.67]",True,True,Transfer,3,Academic
S1011,24,Female,Other,Psychology,2.5,2.42,1.0,1,84,True,1,4,Student discussed academic goals and current challenges.,,"[1.73, 2.14, 3.47, 3.66]","[0.8, 0.75, 0.58, 0.53]",False,False,None,0,None
S1012,21,Male,Other,Electrical Engineering,2.26,2.13,0.68,2,21,True,0,0,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[2.77, 3.56, 2.2, 3.86]","[0.94, 0.58, 0.89, 0.79]",False,False,None,0,None
S1013,29,Other,Other,Computer Science,3.63,3.53,0.97,0,57,False,0,2,Student discussed academic goals and current challenges.,,"[3.19, 2.83, 3.3, 1.85]","[0.61, 0.91, 0.66, 0.51]",False,False,None,0,None
S1014,28,Male,White,Biology,3.24,3.07,0.99,0,44,False,0,4,Student discussed academic goals and current challenges.,,"[3.66, 3.81, 2.72, 3.02]","[0.88, 0.59, 0.75, 0.7]",False,False,None,0,None
S1015,26,Other,White,Computer Science,3.17,3.11,0.74,1,44,True,3,4,Student discussed academic goals and current challenges.,,"[2.87, 3.91, 2.58, 2.28]","[0.75, 0.72, 0.55, 0.82]",False,False,None,0,None
S1016,28,Male,Hispanic,Business,3.05,2.72,0.58,0,24,True,1,1,Student discussed academic goals and current challenges.,,"[2.03, 2.71, 3.39, 3.05]","[0.65, 0.72, 0.59, 0.54]",False,False,None,0,None
S1017,29,Other,Black,Psychology,2.26,2.21,0.85,1,116,False,3,0,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[2.08, 2.05, 1.93, 3.14]","[0.92, 0.86, 0.9, 0.7]",False,False,None,0,None
S1018,20,Other,White,Biology,2.42,2.21,0.91,2,105,True,1,1,Student discussed academic goals and current challenges.,,"[1.83, 2.55, 3.48, 2.96]","[0.84, 0.59, 0.81, 0.66]",False,False,None,0,None
S1019,27,Female,Hispanic,Psychology,2.1,1.61,0.9,2,51,False,0,2,Student discussed academic goals and current challenges.,,"[2.16, 3.12, 2.75, 2.17]","[0.57, 0.56, 0.93, 0.62]",False,False,None,0,None
S1020,19,Female,Black,Computer Science,2.69,2.5,0.7,3,61,True,1,4,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[1.83, 1.76, 3.15, 3.86]","[0.9, 0.54, 0.64, 0.97]",False,False,None,0,None
S1021,29,Female,Other,Biology,3.45,3.04,0.75,0,105,False,0,0,Student discussed academic goals and current challenges.,,"[1.67, 2.8, 1.88, 3.34]","[0.76, 0.84, 0.52, 0.54]",False,False,None,0,None
S1022,28,Female,White,Electrical Engineering,3.15,2.75,0.55,0,24,False,0,1,Student discussed academic goals and current challenges.,,"[2.65, 3.98, 3.93, 3.86]","[0.89, 0.68, 0.71, 0.77]",False,False,None,0,None
S1023,23,Female,White,Business,3.41,3.28,0.51,1,100,True,3,0,Student discussed academic goals and current challenges.,,"[3.94, 3.17, 1.53, 2.14]","[0.63, 0.53, 0.98, 0.74]",False,False,None,0,None
S1024,19,Female,Other,Computer Science,2.31,2.25,0.74,0,32,True,3,3,Student discussed academic goals and current challenges.,,"[1.89, 1.61, 1.78, 3.0]","[0.55, 0.69, 0.78, 0.69]",True,True,Permanent,0,Other
S1025,19,Other,Black,Psychology,3.86,3.74,0.56,0,65,True,3,4,Student discussed academic goals and current challenges.,,"[2.21, 3.54, 3.65, 3.62]","[0.96, 0.63, 0.88, 0.73]",False,False,None,0,None
S1026,25,Male,Asian,Business,3.37,3.09,0.59,0,105,False,2,0,Student discussed academic goals and current challenges.,Reported stress and difficulty with time management.,"[3.84, 1.61, 1.91, 1.83]","[0.86, 0.91, 0.61, 0.75]",False,False,None,0,None
S1027,25,Female,Other,Business,2.36,2.15,0.88,0,75,True,2,5,Student discussed academic goals and current challenges.,,"[2.91, 3.22, 3.68, 3.09]","[0.88, 0.58, 0.73, 0.5]",False,False,None,0,None
S1028,18,Female,Other,Business,3.35,2.91,0.64,0,115,False,1,1,Student discussed academic goals and current challenges.,,"[2.01, 2.89, 3.33, 3.04]","[0.59, 0.68, 0.89, 0.78]",False,False,None,0,None
