date,day,aircraft,helicopter,tank,APC,field artillery,MRL,drone,naval ship,submarines,anti-aircraft warfare,special equipment,vehicles and fuel tanks,cruise missiles,personnel
2022-10-13,231,0,0,0,-25,32,0,20,1,0,0,0,0,0,0
2023-05-27,458,3,2,-5,7,8,2,49,0,0,0,0,11,31,0
2023-10-03,587,-1,0,5,0,0,0,-1,0,0,0,0,0,0,0
2024-03-13,749,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0
2024-05-05,802,0,0,0,5,43,1,0,0,0,0,-3,44,19,0
2024-05-25,822,0,0,0,0,0,0,9,0,0,0,0,0,0,0
2024-05-29,826,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-06-22,850,0,0,0,0,0,0,30,0,0,0,0,0,0,0
2024-06-23,850,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2024-07-15,873,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0
2024-08-05,894,2,0,0,0,0,0,-5,0,0,-1,0,20,2,0
2024-09-04,924,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2024-09-10,930,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2024-09-22,942,0,0,0,0,0,0,0,0,0,0,0,0,-2,0
2024-09-27,947,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2024-10-03,953,-1,0,0,0,0,0,2,0,0,0,0,0,0,0
2024-10-09,959,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-10-22,972,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-11-02,983,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-11-30,1011,0,0,0,4,0,-4,0,0,0,13,-85,87,0,0
2024-12-15,1026,0,0,0,0,0,0,0,0,0,0,0,0,80,0
2025-01-07,1049,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2025-02-28,1101,0,0,0,21,38,3,0,0,0,1,-1,26,21,1650
2025-04-05,1137,0,0,0,0,0,0,4,0,0,0,0,0,7,0
2025-04-22,1154,0,0,0,4,4,-1,0,0,0,0,0,0,0,160
2025-05-04,1166,0,0,2,10,41,0,32,0,0,1,0,9,-1,0
