daily_travel_time,vehicle_ownership,location_type,nearby_industries,green_space_access,home_air_quality,work_location_type,smoker_in_household,noise_pollution_level,use_of_air_purifiers,awareness_level,years_in_location,pollution_exposure_score,risk_category
54.9,,Semi-Urban,1.0,Moderate,65.4,Factory,False,34.9,True,,28.0,32.5,Medium
42.2,Public Only,Semi-Urban,5.0,High,41.8,,False,89.6,False,Low,30.0,70.58,High
58.0,None,Urban,1.0,Low,65.0,Remote,False,53.6,False,Medium,26.0,41.57,Medium
75.5,Car,Semi-Urban,2.0,Moderate,64.4,Remote,False,27.1,False,High,22.0,43.97,Medium
40.3,None,Semi-Urban,1.0,High,52.9,Factory,True,27.2,False,Medium,24.0,38.08,Medium
40.3,,Urban,2.0,Low,63.5,Remote,False,79.5,True,Medium,26.0,42.88,Medium
76.6,Public Only,Semi-Urban,2.0,High,63.8,Office,False,76.3,False,Low,7.0,41.5,Medium
60.3,Car,Semi-Urban,,Moderate,58.8,Remote,False,71.9,False,Medium,1.0,46.44,Medium
35.6,Two-wheeler,Semi-Urban,1.0,Moderate,56.9,Fieldwork,False,39.2,True,,40.0,33.87,Medium
55.9,,Urban,,High,39.5,Fieldwork,True,42.5,True,Low,23.0,47.77,Medium
35.7,None,Semi-Urban,2.0,Low,43.6,Office,False,18.5,False,,2.0,46.68,Medium
35.7,Public Only,Urban,4.0,Moderate,50.8,Factory,False,44.2,True,Low,11.0,48.27,Medium
49.8,Two-wheeler,Semi-Urban,2.0,,44.9,Office,False,53.4,True,Low,7.0,36.75,Medium
6.7,Two-wheeler,Semi-Urban,2.0,Moderate,51.4,Office,False,80.0,False,Medium,14.0,25.89,Low
10.5,Public Only,Semi-Urban,2.0,Low,58.9,Remote,False,44.5,False,Low,13.0,35.27,Medium
33.8,Car,Urban,2.0,Moderate,61.3,Factory,False,43.3,False,,1.0,46.15,Medium
24.7,Two-wheeler,Semi-Urban,1.0,Low,68.4,Remote,False,55.8,False,High,27.0,31.4,Medium
51.3,Public Only,Rural,0.0,Moderate,62.4,Remote,False,67.0,False,Medium,3.0,18.53,Low
26.8,Two-wheeler,Urban,0.0,Moderate,61.8,Factory,False,81.1,True,High,37.0,33.55,Medium
16.8,Public Only,Rural,2.0,Moderate,68.0,Factory,True,36.0,True,Low,27.0,34.43,Medium
,,Semi-Urban,2.0,Moderate,46.2,Remote,False,46.6,True,High,40.0,42.52,Medium
